feature	feature_type	nonzero	auroc	auroc_permuted	delta_auroc	pval_auroc	fdr_pval_auroc
prior_prob	prior	1	0.8418	0.79857	0.043224	6.6114e-07	4.1509e-06
CbG	degree	0.98764	0.53747	0.53683	0.00064456	0.73028	0.73028
CtD	degree	1	0.69083	0.67717	0.013657	3.9906e-05	6.2077e-05
DaG	degree	1	0.67492	0.66263	0.012285	8.1127e-05	0.00011358
DtC	degree	1	0.75979	0.73688	0.022908	9.1131e-06	1.8226e-05
CbGaD	dwpc	0.3265	0.71649	0.56621	0.15028	7.5613e-07	4.1509e-06
CbGaDaGaD	dwpc	0.97854	0.68749	0.60799	0.079507	8.2092e-06	1.8226e-05
CbGaDtCtD	dwpc	0.73463	0.68021	0.61119	0.06902	2.4043e-05	4.2076e-05
CbGbCbGaD	dwpc	0.91089	0.69051	0.62966	0.060851	0.00029706	0.00034657
CbGbCtD	dwpc	0.70797	0.84855	0.63119	0.21736	3.4793e-06	1.2178e-05
CtDaGaD	dwpc	0.84846	0.56855	0.44507	0.12349	7.963e-06	1.8226e-05
CtDaGbCtD	dwpc	0.75512	0.50264	0.46565	0.036991	0.0004765	0.00051315
CtDtCbGaD	dwpc	0.70634	0.50287	0.4573	0.045576	0.00018543	0.000236
CtDtCtD	dwpc	0.2865	0.71952	0.51213	0.20739	8.8949e-07	4.1509e-06
