metapath	metaedge	metaedge_abbrev	position	length
CbGaD	Compound - binds - Gene	CbG	1	2
CbGaD	Disease - associates - Gene	DaG	2	2
CbGbCtD	Compound - binds - Gene	CbG	1	3
CbGbCtD	Compound - binds - Gene	CbG	2	3
CbGbCtD	Compound - treats - Disease	CtD	3	3
CtDaGaD	Compound - treats - Disease	CtD	1	3
CtDaGaD	Disease - associates - Gene	DaG	2	3
CtDaGaD	Disease - associates - Gene	DaG	3	3
CtDtCtD	Compound - treats - Disease	CtD	1	3
CtDtCtD	Compound - treats - Disease	CtD	2	3
CtDtCtD	Compound - treats - Disease	CtD	3	3
CbGaDaGaD	Compound - binds - Gene	CbG	1	4
CbGaDaGaD	Disease - associates - Gene	DaG	2	4
CbGaDaGaD	Disease - associates - Gene	DaG	3	4
CbGaDaGaD	Disease - associates - Gene	DaG	4	4
CbGaDtCtD	Compound - binds - Gene	CbG	1	4
CbGaDtCtD	Disease - associates - Gene	DaG	2	4
CbGaDtCtD	Compound - treats - Disease	CtD	3	4
CbGaDtCtD	Compound - treats - Disease	CtD	4	4
CbGbCbGaD	Compound - binds - Gene	CbG	1	4
CbGbCbGaD	Compound - binds - Gene	CbG	2	4
CbGbCbGaD	Compound - binds - Gene	CbG	3	4
CbGbCbGaD	Disease - associates - Gene	DaG	4	4
CtDaGbCtD	Compound - treats - Disease	CtD	1	4
CtDaGbCtD	Disease - associates - Gene	DaG	2	4
CtDaGbCtD	Compound - binds - Gene	CbG	3	4
CtDaGbCtD	Compound - treats - Disease	CtD	4	4
CtDtCbGaD	Compound - treats - Disease	CtD	1	4
CtDtCbGaD	Compound - treats - Disease	CtD	2	4
CtDtCbGaD	Compound - binds - Gene	CbG	3	4
CtDtCbGaD	Disease - associates - Gene	DaG	4	4
